date,open,high,low,close,diff,diff_perd,qty
2018-07-24,294.92,296.05,293.28,295.49,0.93,0.32,"99,972"
2018-07-23,296.81,296.81,293.8,294.56,-2.39,-0.8,"87,894"
2018-07-20,295.78,297.52,294.05,296.95,1.05,0.35,"76,112"
2018-07-19,297.71,297.94,295.52,295.9,-0.57,-0.19,"85,404"
2018-07-18,299.2,300.24,296.08,296.47,-0.41,-0.14,"78,882"
2018-07-17,297.46,298.15,295.74,296.88,-0.49,-0.16,"77,992"
2018-07-16,298.71,299.56,297.06,297.37,-1.28,-0.43,"69,364"
2018-07-13,295.88,298.99,295.86,298.65,4.24,1.44,"88,560"
2018-07-12,294.94,296.63,293.77,294.41,-0.02,-0.01,"94,349"
2018-07-11,293.8,295.27,291.77,294.43,-1.76,-0.59,"102,397"
2018-07-10,297.14,297.99,295.84,296.19,0.99,0.34,"74,328"
2018-07-09,293.88,296.63,292.58,295.2,2.09,0.71,"80,243"
2018-07-06,292.04,294.73,290.09,293.11,1.48,0.51,"100,948"
2018-07-05,292.12,293.6,289.9,291.63,-0.63,-0.22,"64,861"
2018-07-04,293.54,294.63,291.87,292.26,-1.09,-0.37,"67,010"
2018-07-03,294.89,295.06,290.89,293.35,0.42,0.14,"88,703"
2018-07-02,299.12,300.04,292.93,292.93,-6.73,-2.25,"93,228"
2018-06-29,299.37,300.28,295.97,299.66,1.4,0.47,"91,793"
2018-06-28,299.91,300.83,297.72,298.26,-3.99,-1.32,"88,459"
2018-06-27,302.73,304.29,301.92,302.25,-0.51,-0.17,"100,171"
2018-06-26,300.3,303.83,299.5,302.76,-0.61,-0.2,"95,031"
2018-06-25,302.77,303.99,300.69,303.37,-0.32,-0.11,"83,139"
2018-06-22,298.81,303.72,298.71,303.69,2.67,0.89,"92,739"
2018-06-21,304.06,305.04,301.02,301.02,-3,-0.99,"101,197"
2018-06-20,302.95,305.69,301.83,304.02,2.67,0.89,"104,269"
2018-06-19,304.92,305.79,300.74,301.35,-4,-1.31,"117,682"
2018-06-18,308.73,308.95,303.77,305.35,-3.38,-1.09,"121,133"
2018-06-15,312.43,312.55,308.71,308.73,-2.47,-0.79,"127,404"
2018-06-14,314.6,314.82,311.03,311.2,-5.64,-1.78,"147,740"
2018-06-12,317.81,318.3,316.21,316.84,-0.38,-0.12,"122,233"
2018-06-11,315.24,317.35,314.24,317.22,2.25,0.71,"103,065"
2018-06-08,316.94,317.25,314.53,314.97,-2.7,-0.85,"103,098"
2018-06-07,317.94,319.19,317.03,317.67,1.91,0.6,"108,023"
2018-06-05,315.12,316.07,312.83,315.76,0.92,0.29,"105,958"
2018-06-04,313.7,315.46,313.26,314.84,1.62,0.52,"104,433"
2018-06-01,310.13,314.14,309.87,313.22,2.3,0.74,"120,951"
2018-05-31,312.01,312.26,309.84,310.92,1.66,0.54,"228,470"
2018-05-30,314.64,315.2,308.07,309.26,-6.94,-2.19,"135,724"
2018-05-29,318.7,319.4,316.18,316.2,-2.79,-0.87,"117,360"
2018-05-28,318.37,319.99,318.04,318.99,0.94,0.3,"147,738"
2018-05-25,315.92,318.88,315.43,318.05,0.57,0.18,"130,285"
2018-05-24,318.93,319.46,316.55,317.48,-0.83,-0.26,"83,137"
2018-05-23,316.45,319.04,316.01,318.31,2.06,0.65,"122,345"
2018-05-21,315.74,317.19,313.45,316.25,0.88,0.28,"96,768"
2018-05-18,315.5,315.8,314.46,315.37,1.08,0.34,"83,886"
2018-05-17,317.33,317.77,314.29,314.29,-1.68,-0.53,"107,626"
2018-05-16,313.81,316.62,313.78,315.97,1.03,0.33,"129,023"
2018-05-15,317.73,318.35,314.57,314.94,-2.78,-0.87,"128,387"
2018-05-14,318.93,319.5,317.09,317.72,-0.79,-0.25,"141,539"
2018-05-11,318.03,319.7,317.86,318.51,1.2,0.38,"112,400"
2018-05-10,316.51,317.34,315.11,317.31,2.89,0.92,"120,901"
2018-05-09,315.93,316.08,312.6,314.42,-1.45,-0.46,"123,611"
2018-05-08,317.79,319.53,314.95,315.87,-0.88,-0.28,"141,253"
2018-05-04,320.56,321,316.75,316.75,-3.8,-1.19,"173,912"
2018-05-03,322.83,322.95,320.55,320.55,-1.98,-0.61,"117,280"
2018-05-02,323.56,323.97,321.99,322.53,-1.03,-0.32,"158,304"
2018-04-30,321.93,323.58,321.66,323.56,2.76,0.86,"139,570"
2018-04-27,321.39,322.93,319.43,320.8,2.72,0.86,"92,190"
2018-04-26,315.55,319.06,314.95,318.08,4.09,1.3,"91,036"
2018-04-25,313.09,314.43,312.1,313.99,-1.87,-0.59,"82,175"
2018-04-24,318.24,318.3,314.43,315.86,-2.03,-0.64,"94,691"
2018-04-23,317.32,318.28,316.5,317.89,0,0,"108,889"
2018-04-20,318.6,319.39,317.29,317.89,-2.23,-0.7,"104,385"
2018-04-19,319.26,320.68,318.47,320.12,1.48,0.46,"116,870"
2018-04-18,316.58,319.28,316.55,318.64,4,1.27,"93,162"
2018-04-17,315.44,316.48,313.95,314.64,-0.53,-0.17,"73,082"
2018-04-16,316.45,316.53,314.14,315.17,0.31,0.1,"69,234"
2018-04-13,314.42,315.71,313.77,314.86,1.64,0.52,"92,859"
2018-04-12,313.92,314.69,312.99,313.22,0.28,0.09,"95,163"
2018-04-11,314.83,315.45,312.44,312.94,-1,-0.32,"108,374"
2018-04-10,312.53,314.77,309.58,313.94,0.49,0.16,"91,826"
2018-04-09,310.88,313.88,310.86,313.45,1.84,0.59,"101,643"
2018-04-06,310.39,312.32,309.73,311.61,-1.43,-0.46,"107,254"
2018-04-05,311.12,314.53,310.3,313.04,4.5,1.46,"103,602"
2018-04-04,314.21,314.21,308.33,308.54,-4.84,-1.54,"139,804"
2018-04-03,311.03,313.38,309.91,313.38,-0.62,-0.2,"132,269"
2018-04-02,315.56,317.07,313.62,314,-0.61,-0.19,"85,963"
2018-03-30,316.19,316.92,314.59,314.61,0.79,0.25,"111,256"
2018-03-29,312.03,314.45,310.8,313.82,2.01,0.64,"85,494"
2018-03-28,312.54,313.06,310.35,311.81,-4.53,-1.43,"95,208"
2018-03-27,317.22,317.39,315.24,316.34,1.45,0.46,"86,173"
2018-03-26,311.93,314.89,309.85,314.89,2.47,0.79,"82,454"
2018-03-23,316.6,317.13,311.78,312.42,-10.9,-3.37,"102,461"
2018-03-22,322.97,324.72,321.8,323.32,1.72,0.53,"91,617"
2018-03-21,322.19,322.85,321.46,321.6,-0.19,-0.06,"72,018"
2018-03-20,317.79,321.8,317.66,321.79,1.44,0.45,"65,015"
2018-03-19,322.57,322.8,319.72,320.35,-2.53,-0.78,"73,051"
2018-03-16,322.94,323.42,320.3,322.88,0.14,0.04,"75,857"
2018-03-15,322.06,323.44,319.76,322.74,0.75,0.23,"70,222"
2018-03-14,320.72,322.27,320.39,321.99,-0.99,-0.31,"76,075"
2018-03-13,320.98,322.98,320.37,322.98,2.28,0.71,"96,757"
2018-03-12,321.32,321.86,319.69,320.7,3.03,0.95,"93,547"
2018-03-09,316.06,320.47,314.87,317.67,2.89,0.92,"108,413"
2018-03-08,313.62,314.78,311.04,314.78,3.64,1.17,"92,592"
2018-03-07,311.57,314.11,309.11,311.14,0.68,0.22,"97,307"
2018-03-06,308.15,310.65,306.95,310.46,5.88,1.93,"87,806"
2018-03-05,308.39,308.79,304.46,304.58,-3.77,-1.22,"66,487"
2018-03-02,310.11,310.42,306.88,308.35,-4.51,-1.44,"83,585"
2018-02-28,315.89,317.42,312.75,312.86,-3.97,-1.25,"94,901"
2018-02-27,319.52,320.71,316.83,316.83,-0.51,-0.16,"69,195"
2018-02-26,318.49,318.6,316.12,317.34,0.53,0.17,"86,346"
2018-02-23,313.89,316.81,313.89,316.81,4.64,1.49,"74,327"
2018-02-22,312.72,313.49,311.13,312.17,-2.3,-0.73,"65,202"
2018-02-21,313.14,314.95,310.99,314.47,1.64,0.52,"61,421"
2018-02-20,315.19,315.73,312.2,312.83,-3.78,-1.19,"56,032"
2018-02-19,318.42,318.8,314.51,316.61,2.21,0.7,"70,084"
2018-02-14,313.33,315.53,312.81,314.4,3.53,1.14,"69,233"
2018-02-13,310.45,314.15,309.23,310.87,2.74,0.89,"86,757"
2018-02-12,306.91,309.65,305.17,308.13,3.3,1.08,"84,614"
2018-02-09,303.54,306.34,303.47,304.83,-6.79,-2.18,"103,309"
2018-02-08,310.84,314.24,309.95,311.62,1.14,0.37,"111,638"
2018-02-07,322.06,322.1,310.47,310.48,-7.53,-2.37,"106,916"
2018-02-06,316.62,319.15,312.62,318.01,-5.28,-1.63,"126,683"
2018-02-05,322.05,324.64,320.6,323.29,-3.72,-1.14,"101,936"
2018-02-02,332.69,332.69,326.3,327.01,-6.35,-1.9,"100,574"
2018-02-01,335.06,335.66,332.93,333.36,-0.02,-0.01,"92,493"
2018-01-31,332.38,338.48,331.65,333.38,-0.02,-0.01,"113,799"
2018-01-30,336.62,337.88,333.4,333.4,-4.65,-1.38,"109,651"
2018-01-29,337.28,339.27,337.05,338.05,2.67,0.8,"121,234"
2018-01-26,333.75,335.38,332.51,335.38,1.3,0.39,"112,867"
2018-01-25,330.67,334.5,330.6,334.08,3.17,0.96,"124,683"
2018-01-24,330.37,332.44,329.86,330.91,-0.02,-0.01,"89,710"
2018-01-23,327.42,330.93,327.17,330.93,4.66,1.43,"102,543"
2018-01-22,328.78,328.84,324.56,326.27,-3.25,-0.99,"80,821"
2018-01-19,329.81,330.55,328.51,329.52,0.39,0.12,"94,694"
